rate_name,current_rate,critical_factor,critical_rate,T_at_critical,is_within_bounds,direction,note,group,target,T_equilibrium,M_threshold
alpha,0.0486519990788181,20.0,0.973039981576362,23757.479969284388,False,-1,no_crossing_in_scanned_range,Anglosphere ex-US,domestic_active,67531.7991356425,3183.4920212765956
beta,0.0223066560129662,0.001,2.2306656012966198e-05,54552.11962057611,False,1,no_crossing_in_scanned_range,Anglosphere ex-US,domestic_active,67531.7991356425,3183.4920212765956
h_D,0.0886244132610387,0.001,8.862441326103871e-05,34353.1394504157,False,1,no_crossing_in_scanned_range,Anglosphere ex-US,domestic_active,67531.7991356425,3183.4920212765956
h_A,0.1540762693288373,0.001,0.00015407626932883732,62827.76764531857,False,1,no_crossing_in_scanned_range,Anglosphere ex-US,domestic_active,67531.7991356425,3183.4920212765956
p_D,0.0734687021480323,0.001,7.346870214803231e-05,39991.16692656375,False,1,no_crossing_in_scanned_range,Anglosphere ex-US,domestic_active,67531.7991356425,3183.4920212765956
p_A,0.1100347161666016,0.001,0.0001100347161666016,65812.99302170552,False,1,no_crossing_in_scanned_range,Anglosphere ex-US,domestic_active,67531.7991356425,3183.4920212765956
d,0.0456012888273175,13.67010140324795,0.623374242388228,3183.4920212765956,True,-1,crossing_found,Anglosphere ex-US,domestic_active,67531.7991356425,3183.4920212765956
epsilon,4.584211973961676e-06,20.0,9.168423947923351e-05,45853.49331738662,False,-1,no_crossing_in_scanned_range,Anglosphere ex-US,domestic_active,67531.7991356425,3183.4920212765956
r,0.06325770515195472,0.001,6.325770515195473e-05,37843.44293203726,False,1,no_crossing_in_scanned_range,Anglosphere ex-US,domestic_active,67531.7991356425,3183.4920212765956
I0,2112.704284000026,0.04235195735192808,89.47716173320484,3183.4920212765956,True,1,crossing_found,Anglosphere ex-US,domestic_active,67531.7991356425,3183.4920212765956
alpha,0.0486519990788181,20.0,0.973039981576362,16286.988958237334,False,-1,no_crossing_in_scanned_range,Anglosphere ex-US,domestic_PIs,67531.7991356425,3183.4920212765956
beta,0.0223066560129662,0.001,2.2306656012966198e-05,22227.9476792768,False,1,no_crossing_in_scanned_range,Anglosphere ex-US,domestic_PIs,67531.7991356425,3183.4920212765956
h_D,0.0886244132610387,0.001,8.862441326103871e-05,5763.151655542698,False,1,no_crossing_in_scanned_range,Anglosphere ex-US,domestic_PIs,67531.7991356425,3183.4920212765956
h_A,0.1540762693288373,0.001,0.00015407626932883732,25603.39684696948,False,1,no_crossing_in_scanned_range,Anglosphere ex-US,domestic_PIs,67531.7991356425,3183.4920212765956
p_D,0.0734687021480323,0.030292775696710357,0.002225570914898765,3183.4920212765956,True,1,crossing_found,Anglosphere ex-US,domestic_PIs,67531.7991356425,3183.4920212765956
p_A,0.1100347161666016,0.001,0.0001100347161666016,27868.202921599728,False,1,no_crossing_in_scanned_range,Anglosphere ex-US,domestic_PIs,67531.7991356425,3183.4920212765956
d,0.0456012888273175,2.4595543226677803,0.11215884705445071,3183.4920212765956,True,-1,crossing_found,Anglosphere ex-US,domestic_PIs,67531.7991356425,3183.4920212765956
epsilon,4.584211973961676e-06,20.0,9.168423947923351e-05,20243.183772054435,False,-1,no_crossing_in_scanned_range,Anglosphere ex-US,domestic_PIs,67531.7991356425,3183.4920212765956
r,0.06325770515195472,0.001,6.325770515195473e-05,16706.944540472065,False,1,no_crossing_in_scanned_range,Anglosphere ex-US,domestic_PIs,67531.7991356425,3183.4920212765956
I0,2112.704284000026,0.09669324732381152,204.28423785489062,3183.4920212765956,True,1,crossing_found,Anglosphere ex-US,domestic_PIs,67531.7991356425,3183.4920212765956
alpha,0.0279291100322499,20.0,0.558582200644998,92924.10045954415,False,-1,no_crossing_in_scanned_range,Continental Europe,domestic_active,195095.26841586374,3923.499485066941
beta,0.0359331483658591,0.001,3.59331483658591e-05,165172.07643177116,False,1,no_crossing_in_scanned_range,Continental Europe,domestic_active,195095.26841586374,3923.499485066941
h_D,0.0874078776328974,0.001,8.74078776328974e-05,108189.33057721579,False,1,no_crossing_in_scanned_range,Continental Europe,domestic_active,195095.26841586374,3923.499485066941
h_A,0.1540412584288036,0.001,0.00015404125842880358,186701.20902196201,False,1,no_crossing_in_scanned_range,Continental Europe,domestic_active,195095.26841586374,3923.499485066941
p_D,0.0733475891758883,0.001,7.33475891758883e-05,114674.52029362653,False,1,no_crossing_in_scanned_range,Continental Europe,domestic_active,195095.26841586374,3923.499485066941
p_A,0.1070004287270768,0.001,0.0001070004287270768,191700.8856413106,False,1,no_crossing_in_scanned_range,Continental Europe,domestic_active,195095.26841586374,3923.499485066941
d,0.0458472850546197,20.0,0.916945701092394,5966.813187973626,False,-1,no_crossing_in_scanned_range,Continental Europe,domestic_active,195095.26841586374,3923.499485066941
epsilon,1.79426910448029e-06,20.0,3.58853820896058e-05,132062.39781985665,False,-1,no_crossing_in_scanned_range,Continental Europe,domestic_active,195095.26841586374,3923.499485066941
