rate,value,target_value_after_1pct_change,elasticity,group,target,M_threshold,period
r,0.003133363464030481,706.3099783451779,1.0101010100405576,Anglosphere ex-US,domestic_active,119.77848101265822,early
I0,1.8746239109865739,706.2393473477662,1.0000000000000155,Anglosphere ex-US,domestic_active,119.77848101265822,early
p_D,0.022431482441414193,700.0839928348609,0.1197165548221804,Anglosphere ex-US,domestic_active,119.77848101265822,early
beta,0.04700036292457356,699.791162097043,0.07783853622879895,Anglosphere ex-US,domestic_active,119.77848101265822,early
h_D,0.1373265360835137,699.4809010139825,0.033467786416019114,Anglosphere ex-US,domestic_active,119.77848101265822,early
p_A,0.07754338732037873,699.4237320131058,0.025291990051473336,Anglosphere ex-US,domestic_active,119.77848101265822,early
h_A,0.34657359027997264,699.3347819484962,0.012571151770084688,Anglosphere ex-US,domestic_active,119.77848101265822,early
alpha,0.1760087790415523,699.123918936156,-0.01758457988993571,Anglosphere ex-US,domestic_active,119.77848101265822,early
d,0.005053987678095924,683.8324383978445,-2.2044346048418118,Anglosphere ex-US,domestic_active,119.77848101265822,early
r,0.003133363464030481,604.3216906276269,1.010101010040546,Anglosphere ex-US,domestic_PIs,119.77848101265822,early
I0,1.8746239109865739,604.2612584589259,1.0000000000000047,Anglosphere ex-US,domestic_PIs,119.77848101265822,early
p_D,0.022431482441414193,599.7109504757158,0.23943310965142722,Anglosphere ex-US,domestic_PIs,119.77848101265822,early
beta,0.04700036292457356,598.6018963261689,0.05405887369609109,Anglosphere ex-US,domestic_PIs,119.77848101265822,early
p_A,0.07754338732037873,598.5811067858251,0.050583980104404035,Anglosphere ex-US,domestic_PIs,119.77848101265822,early
alpha,0.1760087790415523,598.4149537869264,0.022812130339337832,Anglosphere ex-US,domestic_PIs,119.77848101265822,early
h_A,0.34657359027997264,598.3851158494605,0.017824831150667263,Anglosphere ex-US,domestic_PIs,119.77848101265822,early
h_D,0.1373265360835137,598.3441777526933,0.010982182022329739,Anglosphere ex-US,domestic_PIs,119.77848101265822,early
d,0.005053987678095924,584.2397058770516,-2.346527321520739,Anglosphere ex-US,domestic_PIs,119.77848101265822,early
r,0.003433510460808975,1128.2603610246956,1.0101010100026422,Continental Europe,domestic_active,129.0692124105012,early
I0,3.399609287172511,1128.1475349896918,1.000000000000006,Continental Europe,domestic_active,129.0692124105012,early
p_D,0.04981429345534807,1117.981179580774,0.08983367471518848,Continental Europe,domestic_active,129.0692124105012,early
h_D,0.17328679513998632,1117.6544580053433,0.06058317502871248,Continental Europe,domestic_active,129.0692124105012,early
beta,0.049247648509779404,1117.6294882339428,0.05834769887578823,Continental Europe,domestic_active,129.0692124105012,early
p_A,0.046209812037329684,1117.0660095644557,0.007900976392180575,Continental Europe,domestic_active,129.0692124105012,early
h_A,0.2239699336535069,1117.0605755365284,0.007414482557254515,Continental Europe,domestic_active,129.0692124105012,early
alpha,0.09223087303079779,1116.544089954555,-0.038825075799621675,Continental Europe,domestic_active,129.0692124105012,early
d,0.005853361980990349,1093.067690838028,-2.1406036439643596,Continental Europe,domestic_active,129.0692124105012,early
r,0.003433510460808975,1000.1276576213702,1.0101010100026395,Continental Europe,domestic_PIs,129.0692124105012,early
I0,3.399609287172511,1000.027644856582,1.0000000000000067,Continental Europe,domestic_PIs,129.0692124105012,early
p_D,0.04981429345534807,991.9053148710431,0.17966734943904653,Continental Europe,domestic_PIs,129.0692124105012,early
h_D,0.17328679513998632,990.7922312492493,0.06724901142670947,Continental Europe,domestic_PIs,129.0692124105012,early
beta,0.049247648509779404,990.6221220063877,0.05006845285176574,Continental Europe,domestic_PIs,129.0692124105012,early
p_A,0.046209812037329684,990.2828403493664,0.015801952785096926,Continental Europe,domestic_PIs,129.0692124105012,early
h_A,0.2239699336535069,990.2330458308113,0.010772845439979925,Continental Europe,domestic_PIs,129.0692124105012,early
alpha,0.09223087303079779,989.9112819297741,-0.021724410182809257,Continental Europe,domestic_PIs,129.0692124105012,early
d,0.005853361980990349,967.7947117439594,-2.255436248306682,Continental Europe,domestic_PIs,129.0692124105012,early
r,0.0017093659369038505,911.2970921048424,1.0101010099662977,Hindu,domestic_active,66.04072398190046,early
I0,1.437451795176416,911.2059623968474,1.0000000000000366,Hindu,domestic_active,66.04072398190046,early
p_D,0.05154599254889878,902.6911855329117,0.05620408694941073,Hindu,domestic_active,66.04072398190046,early
h_D,0.24323876863191413,902.3260940796861,0.015736576531900782,Hindu,domestic_active,66.04072398190046,early
beta,0.17917594692280553,902.2230376360029,0.004313581905505,Hindu,domestic_active,66.04072398190046,early
h_A,0.1373265360835137,902.1985763848172,0.0016022449831072458,Hindu,domestic_active,66.04072398190046,early
p_A,0.06108604879161033,902.1930734796807,0.0009922913154160552,Hindu,domestic_active,66.04072398190046,early
alpha,0.05423706673910467,902.1465570910356,-0.004163683784662297,Hindu,domestic_active,66.04072398190046,early
d,0.003175467435552702,883.8408977420097,-2.0332017613981117,Hindu,domestic_active,66.04072398190046,early
r,0.0017093659369038505,849.421109160229,1.0101010099663,Hindu,domestic_PIs,66.04072398190046,early
I0,1.437451795176416,849.336167050446,1.0000000000000364,Hindu,domestic_PIs,66.04072398190046,early
p_D,0.05154599254889878,841.8721686397546,0.11240817390621886,Hindu,domestic_PIs,66.04072398190046,early
h_D,0.24323876863191413,841.1389429676807,0.025215616056430065,Hindu,domestic_PIs,66.04072398190046,early
h_A,0.1373265360835137,840.9510088351365,0.002867165438949556,Hindu,domestic_PIs,66.04072398190046,early
beta,0.17917594692280553,840.9449256965823,0.002143780496919405,Hindu,domestic_PIs,66.04072398190046,early
p_A,0.06108604879161033,840.9435869589063,0.0019845826309529747,Hindu,domestic_PIs,66.04072398190046,early
alpha,0.05423706673910467,840.9106043763245,-0.0019375873766289472,Hindu,domestic_PIs,66.04072398190046,early
d,0.003175467435552702,823.2645801914726,-2.1003392707282127,Hindu,domestic_PIs,66.04072398190046,early
r,0.016014514558037263,186.14093516947105,1.0101010100916903,Japanese,domestic_active,50.47533632286996,early
I0,1.7060802162755573,186.12232107597123,0.9999999999999747,Japanese,domestic_active,50.47533632286996,early
